UserId,ProductId,Rating,Timestamp
Marianne Rattan,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,
mark d.,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,2017-06-04 00:00:00+00:00
Mandy,Amazon Fire TV,5.0,2014-04-07 00:00:00+00:00
Dallas,Amazon Fire TV,4.0,2014-04-06 00:00:00+00:00
Dallas,Amazon Fire TV,4.0,2014-04-06 00:00:00+00:00
Dallas,Amazon Fire TV,4.0,2014-04-06 00:00:00+00:00
William Hardin,Amazon Fire TV,5.0,
William Hardin,Amazon Fire TV,5.0,
Gregory P. Baker,Amazon Fire TV,4.0,2014-04-03 00:00:00+00:00
William Hardin,Amazon Fire TV,5.0,
Mandy,Amazon Fire TV,5.0,2014-04-07 00:00:00+00:00
Gregory P. Baker,Amazon Fire TV,4.0,2014-04-03 00:00:00+00:00
William Hardin,Amazon Fire TV,5.0,
Spiral42 Trivia Fanatic,Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
Mandy,Amazon Fire TV,5.0,2014-04-07 05:00:00+00:00
Alice,Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
William Hardin,Amazon Fire TV,5.0,2014-04-03 05:00:00+00:00
Max Nancy,Amazon Fire TV,2.0,2014-09-03 05:00:00+00:00
txtech1997,Amazon Fire TV,1.0,2014-09-02 05:00:00+00:00
IMA,Amazon Fire TV,1.0,2014-06-24 05:00:00+00:00
A. Dent Aragorn,Amazon Fire TV,3.0,2014-04-03 05:00:00+00:00
R. Colley RC,Amazon Fire TV,5.0,2014-04-04 05:00:00+00:00
Caryl Faulkender,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Maria,Amazon Fire TV,4.0,2014-09-02 05:00:00+00:00
Gregory P. Baker,Amazon Fire TV,4.0,2014-04-03 05:00:00+00:00
Gregory P. Baker,Amazon Fire TV,4.0,2014-04-03 05:00:00+00:00
Lynne Matlack Kindle Junkie,Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
CV,Amazon Fire TV,4.0,2014-09-02 05:00:00+00:00
Thomas B,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
David R. Lowe,Amazon Fire TV,1.0,2014-09-03 05:00:00+00:00
William Hardin,Amazon Fire TV,5.0,2014-04-03 05:00:00+00:00
Geronimo,Amazon Fire TV,1.0,2014-04-05 05:00:00+00:00
Don Clayton,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Mandy,Amazon Fire TV,5.0,2014-04-07 05:00:00+00:00
corydave,Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
GEP,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Dallas,Amazon Fire TV,4.0,2014-04-06 05:00:00+00:00
M B,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Chris Lunsford,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Grace L. Thompson Industrial Engineer,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Juan2three4,Amazon Fire TV,5.0,2014-04-03 05:00:00+00:00
DaveF,Amazon Fire TV,5.0,2014-05-15 05:00:00+00:00
Donald J. Obrien computer gadgets,Amazon Fire TV,4.0,2014-09-02 05:00:00+00:00
Pat,Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
TKE,Amazon Fire TV,2.0,2014-09-02 05:00:00+00:00
Amazon Enthusiast The Lucky One,Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Grandmaof4,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,4.0,2017-06-22 00:00:00+00:00
C G,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-06-27 00:00:00+00:00
Leslie Kennedy,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-03-16 00:00:00+00:00
Len Burroughs,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,2.0,
Scott Hanel,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,1.0,2017-07-02 00:00:00+00:00
The Old Dog,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-03-23 00:00:00+00:00
Dr. Danny,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-06-08 00:00:00+00:00
Joe Ventresco,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,2.0,2017-04-03 00:00:00+00:00
Steven Moren,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-05-16 00:00:00+00:00
Marilyn Holcomb,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,1.0,2017-04-20 00:00:00+00:00
Maureen Clement,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,4.0,2017-03-16 00:00:00+00:00
Amazon Customer,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-04-09 00:00:00+00:00
Angela Thoburn,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,3.0,2017-05-06 00:00:00+00:00
G. Bruce White,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,2.0,
Mom goes to school,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-05-15 00:00:00+00:00
Mom goes to school,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-05-15 00:00:00+00:00
carolyn s.,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-06-09 00:00:00+00:00
The Old Dog,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,2017-03-23 00:00:00+00:00
Wanda J.,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,4.0,2017-05-23 00:00:00+00:00
